01679a23ddba2d47ca79f511998061bbcbb4de08	ANDROID: gki: Enable pkvm pviommu driver	arch/arm64/configs/gki_defconfig
019f81c100ba56cd3cd68cbfaf1ea1386bc17582	ANDROID: gki_defconfig: enable CONFIG_TASK_DELAY_ACCT	arch/arm64/configs/gki_defconfig
019f81c100ba56cd3cd68cbfaf1ea1386bc17582	ANDROID: gki_defconfig: enable CONFIG_TASK_DELAY_ACCT	arch/riscv/configs/gki_defconfig
019f81c100ba56cd3cd68cbfaf1ea1386bc17582	ANDROID: gki_defconfig: enable CONFIG_TASK_DELAY_ACCT	arch/x86/configs/gki_defconfig
0413ebe13428991b923ba27672b56159b5d84769	ANDROID: arm64: Export system_32bit_el0_cpumask symbol	arch/arm64/kernel/cpufeature.c
0511623cc978c0c7540fdb748de424913ffaf00f	ANDROID: gki_defconfig: enable NVME	arch/arm64/configs/gki_defconfig
0511623cc978c0c7540fdb748de424913ffaf00f	ANDROID: gki_defconfig: enable NVME	arch/x86/configs/gki_defconfig
0526833d4674e762cad4918f1076e86699f0cd1d	ANDROID: set CONFIG_IKHEADERS=m for gki_defconfig.	arch/arm64/configs/gki_defconfig
0526833d4674e762cad4918f1076e86699f0cd1d	ANDROID: set CONFIG_IKHEADERS=m for gki_defconfig.	arch/x86/configs/gki_defconfig
0526833d4674e762cad4918f1076e86699f0cd1d	ANDROID: set CONFIG_IKHEADERS=m for gki_defconfig.	modules.bzl
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	arch/arm64/configs/gki_defconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	arch/x86/configs/gki_defconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/Kconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/Makefile
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/debug_kinfo.c
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/debug_kinfo.h
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/staging/android/Kconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/staging/android/Makefile
108c31cb883083647c80558013f20af2601b0b8f	ANDROID: gki_defconfig: enable CONFIG_CFG80211_CERTIFICATION_ONUS and CONFIG_CFG80211_REG_CELLULAR_HINTS	arch/arm64/configs/gki_defconfig
