0413ebe13428991b923ba27672b56159b5d84769	ANDROID: arm64: Export system_32bit_el0_cpumask symbol	arch/arm64/kernel/cpufeature.c
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/Kconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/Makefile
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/debug_kinfo.c
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/android/debug_kinfo.h
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/staging/android/Kconfig
094f5702db8686e9736e799cab89a2e5778a3d86	ANDROID: debug_kinfo driver, move to drivers/android	drivers/staging/android/Makefile
1505ec475522faf38c28440ea5ef23304c995e3e	ANDROID: arm64: stacktrace: Export arch_stack_walk symbol	arch/arm64/kernel/stacktrace.c
54a8e7e137b0d5d803c54d1ede42787430ac5020	ANDROID: KVM: arm64: Fix pKVM module symbols import	arch/arm64/kernel/module.c
76bbef6aa9343f8a5c2914784c314d24e22ef294	ANDROID: arm64: vdso32: support user-supplied flags	Documentation/kbuild/kbuild.rst
76bbef6aa9343f8a5c2914784c314d24e22ef294	ANDROID: arm64: vdso32: support user-supplied flags	arch/arm64/kernel/vdso32/Makefile
8765527b3df18016f8f3e75f16cab594c64a78ab	ANDROID: KVM: arm64: add CONFIG_KVM guard	arch/arm64/kernel/module-plts.c
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	Documentation/ABI/testing/sysfs-class-android_usb
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/Kconfig
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/Makefile
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/android_configfs_uevent.c
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/android_configfs_uevent.h
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/composite.c
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	drivers/usb/gadget/configfs.c
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	include/linux/usb/android_configfs_uevent.h
957b40b3b769bc23db3d6491db267e3166f91316	ANDROID: usb: gadget: configfs: Add Uevent to notify userspace	include/linux/usb/composite.h
99ad7464a2ac3531964784d38e22336442dd486f	ANDROID: arm64: Forcefully disable SME at runtime	arch/arm64/kernel/pi/idreg-override.c
bdf5a5a3ec6840ea073252e14703b9005a2cd375	ANDROID: mm: Memory health driver	Documentation/ABI/testing/procfs-driver-memhealth
bdf5a5a3ec6840ea073252e14703b9005a2cd375	ANDROID: mm: Memory health driver	drivers/android/Kconfig
bdf5a5a3ec6840ea073252e14703b9005a2cd375	ANDROID: mm: Memory health driver	drivers/android/Makefile
bdf5a5a3ec6840ea073252e14703b9005a2cd375	ANDROID: mm: Memory health driver	drivers/android/memhealth.c
bdf5a5a3ec6840ea073252e14703b9005a2cd375	ANDROID: mm: Memory health driver	mm/oom_kill.c
bf309bfecfed8d40a870a96a53d3c3c4448e67bf	ANDROID: gki_defconfig: enable debug_kinfo	drivers/android/Kconfig
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/Kconfig
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/configfs.c
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/function/Makefile
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/function/f_accessory.c
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/function/f_audio_source.c
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	drivers/usb/gadget/function/f_midi.c
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	include/linux/usb/composite.h
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	include/linux/usb/f_accessory.h
d23db69132acd1d182bd2a48bb9a95b7ea8bca14	ANDROID: revert out-of-tree Android USB gadget changes	include/uapi/linux/usb/f_accessory.h
d833601fdcb3b222e367c4590ec3f31596fd17dd	ANDROID: KVM: arm64: Export kvm_nvhe alias of alt_cb_patch_nops	arch/arm64/include/asm/hyp_image.h
d833601fdcb3b222e367c4590ec3f31596fd17dd	ANDROID: KVM: arm64: Export kvm_nvhe alias of alt_cb_patch_nops	arch/arm64/kernel/alternative.c
